day_of_year,climatological_mean,threshold
1,14.419487633333334,15.2992399
2,14.419680533333333,15.1928331
3,14.427253383333333,15.1855083
4,14.422399866666666,15.2014497
5,14.389955066666666,15.2624311
6,14.332981333333333,15.09082555
7,14.290943933333333,15.0178315
8,14.239797266666667,14.7976273
9,14.195592800000002,14.8319387
10,14.1909817,14.829230500000001
11,14.19809005,14.7698628
12,14.209380900000001,14.9800509
13,14.206439883333333,15.0285591
14,14.207851366666667,15.0743793
15,14.179334116666666,15.1226801
16,14.145527683333334,15.0851185
17,14.136505516666666,14.939866199999999
18,14.147918516666666,14.921427900000001
19,14.151790133333332,14.861231100000001
20,14.140064266666666,14.814943500000002
21,14.140037716666665,14.843444250000001
22,14.129132033333333,14.8620672
23,14.137569733333333,14.8710782
24,14.122682616666667,14.7798551
25,14.116207766666665,14.7694432
26,14.109045583333334,14.765868399999999
27,14.109431449999999,14.8812223
28,14.0954221,14.8490862
29,14.063364183333332,14.7846915
30,14.08590145,14.8148139
31,14.11324995,14.87302755
32,14.095468866666666,14.8322837
33,14.077860033333334,14.8477573
34,14.07442805,14.7686014
35,14.080262383333332,14.7590681
36,14.07779585,14.754291100000001
37,14.035796033333334,14.7684815
38,14.0194145,14.676093600000002
39,14.013979633333333,14.6817893
40,13.996405316666666,14.7739591
41,13.996709633333333,14.824913449999999
42,14.000756566666666,14.836056000000001
43,14.012656483333332,14.8298612
44,14.033263683333333,14.9522493
45,14.004259416666667,14.95320035
46,13.98878875,14.8694557
47,13.976721016666666,14.740132550000002
48,13.954675816666667,14.61738015
49,13.958490466666667,14.71005705
50,13.963934700000001,14.78360415
51,13.9675153,14.893345400000001
52,13.988100966666668,14.8931045
53,13.988302783333333,14.8947959
54,13.992529933333334,14.774654499999999
55,13.991690233333335,14.7743017
56,13.991257383333334,14.7309253
57,13.995962883333334,14.72433365
58,14.021620500000001,14.795188000000001
59,14.0180464,14.8157133
60,14.0110575,14.8743321
61,14.004415133333334,14.887121500000001
62,13.997988133333333,14.8437311
63,13.974305633333334,14.7521973
64,13.965497433333333,14.7528466
65,13.98336155,14.8359153
66,13.986816866666667,14.8712351
67,13.9812981,14.8342354
68,14.012764616666667,14.8773088
69,14.04038325,14.8732652
70,14.059312466666666,14.8633059
71,14.0786391,14.949057700000001
72,14.085689433333334,14.888451000000002
73,14.096592883333333,14.9928643
74,14.079365066666666,14.9815785
75,14.05424,15.0173763
76,14.047673866666667,14.9254722
77,14.074577166666668,14.8672162
78,14.0882137,14.902536
79,14.088022950000001,15.0190802
80,14.077229016666667,14.9844723
81,14.061412833333332,14.99270795
82,14.054188616666666,14.9385484
83,14.04035855,15.0314616
84,14.0511917,15.0659557
85,14.056211916666665,15.0461668
86,14.0333044,14.943906
87,14.075594599999999,15.1076365
88,14.118777083333333,15.085410900000001
89,14.129364383333332,14.9448292
90,14.155301983333334,14.9632631
91,14.172170583333333,15.0669565
92,14.151898933333333,14.983836100000001
93,14.119336416666666,14.8187715
94,14.100285216666666,14.825575
95,14.137900633333334,14.8785793
96,14.16191545,14.9953152
97,14.1847683,15.212182349999999
98,14.188974383333335,15.129750399999999
99,14.195008483333334,15.0384133
100,14.209490383333334,14.902218900000001
101,14.1891358,14.8016066
102,14.197666683333333,14.817143600000001
103,14.193016199999999,14.8684951
104,14.203333783333333,14.7627606
105,14.1898211,14.74330945
106,14.2043683,14.790275699999999
107,14.266880366666667,14.862008600000001
108,14.296757283333333,14.968065000000001
109,14.299202383333332,15.0331366
110,14.323898649999999,15.0110615
111,14.334567833333333,15.0143889
112,14.3107034,14.9747474
113,14.3222216,15.01672085
114,14.307463433333334,15.1198453
115,14.298257783333332,15.1138961
116,14.335797083333334,15.0492554
117,14.369406233333333,15.1227038
118,14.401035633333333,15.1317556
119,14.451499416666667,15.2156303
120,14.474222849999999,15.3832244
121,14.5165368,15.546230399999999
122,14.563102683333334,15.567372200000001
123,14.607582233333334,15.6299322
124,14.641993666666668,15.7214422
125,14.6768319,15.825892300000001
126,14.716194766666666,15.8347545
127,14.750411016666668,15.7620614
128,14.760544183333334,15.7859993
129,14.722514100000001,15.6523623
130,14.649225116666667,15.435028200000001
131,14.638705583333332,15.328523
132,14.626384433333333,15.364675400000001
133,14.619926999999999,15.6009188
134,14.641489483333334,15.720519
135,14.684688766666666,15.692531500000001
136,14.731086549999999,15.6475129
137,14.773456066666666,15.9589659
138,14.795975383333333,16.139926900000003
139,14.817912016666666,16.156919199999997
140,14.872950716666667,16.4348373
141,14.93404965,16.3675235
142,14.911992266666665,16.224017200000002
143,14.897045633333333,16.1375006
144,14.908014383333333,15.99353705
145,14.935055466666666,15.877774900000002
146,14.962062416666667,15.816313500000001
147,15.016522566666668,15.908350500000001
148,15.094505116666666,16.087329200000003
149,15.137376366666667,16.2087036
150,15.172930483333333,16.116416
151,15.215009516666667,16.3270236
152,15.214511733333334,16.422756800000002
153,15.212521466666667,16.402095300000003
154,15.23453635,16.384273699999998
155,15.261283083333332,16.4096351
156,15.295936383333332,16.4659771
157,15.352072183333332,16.4828455
158,15.369809949999999,16.5200724
159,15.367423716666668,16.4589127
160,15.362781816666667,16.4929026
161,15.3744865,16.5328075
162,15.384036199999999,16.5796085
163,15.378673200000001,16.5525373
164,15.399652849999999,16.5705913
165,15.4470595,16.5283596
166,15.420207816666666,16.5183739
167,15.428804066666666,16.5663135
168,15.484275683333333,16.5998749
169,15.546312816666667,16.606993900000003
170,15.576527166666667,16.5634957
171,15.623950716666666,16.4864329
172,15.666406966666667,16.5149391
173,15.66712025,16.414539299999998
174,15.697839033333334,16.4413023
175,15.739441,16.449782
176,15.814733983333333,16.5685537
177,15.893685433333333,16.7343412
178,15.925379983333334,16.6971807
179,15.992954033333332,16.816458700000002
180,16.0564453,16.7909553
181,16.10157956666667,16.7793871
182,16.11925455,16.764136999999998
183,16.132245366666666,16.7322106
184,16.162651166666667,16.7818063
185,16.21977233333333,16.7972608
186,16.276329466666667,16.9663729
187,16.3131484,17.068372
188,16.3491161,17.232393100000003
189,16.435475866666668,17.3202305
190,16.4839711,17.3074456
191,16.504653166666667,17.251064
192,16.551759233333332,17.2859354
193,16.6064206,17.264034000000002
194,16.649713666666667,17.2970906
195,16.664959833333334,17.266769699999998
196,16.714978816666665,17.2444717
197,16.8390626,17.603301300000002
198,16.85099305,17.4496378
199,16.895570866666667,17.684487
200,16.935631283333333,17.9137367
201,16.936312333333333,17.9813327
202,16.9532655,17.799985600000003
203,17.02598263333333,17.906921999999998
204,17.099168433333332,17.978618700000002
205,17.118617099999998,17.9682883
206,17.12387623333333,17.9116016
207,17.151253066666666,17.8728762
208,17.162247866666668,17.926786500000002
209,17.1816384,17.977173
210,17.206531466666668,17.981769999999997
211,17.241001233333336,17.870449100000002
212,17.287285566666664,17.9353448
213,17.3270533,18.0060693
214,17.367641833333334,18.2342528
215,17.382870500000003,18.2516891
216,17.416309766666664,18.2874714
217,17.447758500000003,18.4760725
218,17.450222133333334,18.480797199999998
219,17.4302847,18.428349500000003
220,17.5019764,18.2878022
221,17.554773833333336,18.204877800000002
222,17.565310166666666,18.1515134
223,17.599557266666668,18.236181499999997
224,17.58461123333333,18.2170536
225,17.6059989,18.171469799999997
226,17.637611366666665,18.2588109
227,17.665033433333335,18.3324763
228,17.652692833333333,18.3370244
229,17.6676471,18.2606541
230,17.68835776666667,18.342622000000002
231,17.687063133333332,18.2938039
232,17.705103533333332,18.3648485
233,17.726012833333336,18.422149400000002
234,17.7291374,18.4302014
235,17.712888733333333,18.5192235
236,17.7330485,18.6693375
237,17.723424566666665,18.6951156
238,17.738739266666666,18.6569136
239,17.78619056666667,18.711385099999998
240,17.808783566666666,18.763179400000002
241,17.874372533333332,18.7880327
242,17.8835455,18.8341238
243,17.849868933333333,18.6662794
244,17.86892883333333,18.6358329
245,17.9011806,18.7147368
246,17.899437233333334,18.660883000000002
247,17.8710668,18.7463114
248,17.886072433333332,18.9014598
249,17.921778066666665,19.028859
250,17.9142705,19.046050599999997
