date,sst,sst_anomaly,mhw_days,year,month,oni,enso_phase
1982-01-01,14.045085048387095,-0.1573027107526878,0,1982,1,-0.05,Neutral
1982-02-01,13.897721803571429,-0.11358868154761913,0,1982,2,0.07,Neutral
1982-03-01,13.945115677419356,-0.10530851397849456,0,1982,3,0.19,Neutral
1982-04-01,14.433332233333333,0.18029874666666668,0,1982,4,0.47,Neutral
1982-05-01,14.463608403225807,-0.3425876075268817,0,1982,5,0.66,El Niño
1982-06-01,15.064351266666668,-0.4786636916666666,0,1982,6,0.72,El Niño
1982-07-01,16.264917080645162,-0.4832405741935481,0,1982,7,0.79,El Niño
1982-08-01,17.032812677419354,-0.5963450677419356,0,1982,8,1.07,El Niño
1982-09-01,17.7927666,-0.06734791111111088,0,1982,9,1.58,El Niño
1982-10-01,17.58777264516129,0.18212635161290322,0,1982,10,1.97,El Niño
1982-11-01,16.883009033333334,0.5826081005555556,0,1982,11,2.18,El Niño
1982-12-01,15.574231387096775,0.6130599505376347,5,1982,12,2.23,El Niño
1983-01-01,15.096394951612904,0.8940071924731187,20,1983,1,2.18,El Niño
1983-02-01,15.116136874999999,1.1048263898809523,25,1983,2,1.92,El Niño
1983-03-01,14.99969341935484,0.9492692279569893,19,1983,3,1.54,El Niño
1983-04-01,14.785193399999999,0.5321599133333333,0,1983,4,1.29,El Niño
1983-05-01,15.103043709677419,0.29684769892473123,0,1983,5,1.06,El Niño
1983-06-01,15.604128900000001,0.06111394166666657,0,1983,6,0.72,El Niño
1983-07-01,16.85973535483871,0.11157770000000007,0,1983,7,0.31,Neutral
1983-08-01,18.407975387096776,0.7788176419354834,19,1983,8,-0.08,Neutral
1983-09-01,19.1908485,1.3307339888888892,28,1983,9,-0.46,Neutral
1983-10-01,18.969613258064516,1.563966964516129,29,1983,10,-0.81,La Niña
1983-11-01,17.97781696666667,1.6774160338888888,29,1983,11,-1.0,La Niña
1983-12-01,15.694634161290322,0.7334627247311829,0,1983,12,-0.91,La Niña
