date,sst,year,month,oni,enso_phase
1982-01-01,14.045085048387095,1982,1,-0.05,Neutral
1982-02-01,13.897721803571429,1982,2,0.07,Neutral
1982-03-01,13.945115677419356,1982,3,0.19,Neutral
1982-04-01,14.433332233333333,1982,4,0.47,Neutral
1982-05-01,14.463608403225807,1982,5,0.66,El Niño
1982-06-01,15.064351266666668,1982,6,0.72,El Niño
1982-07-01,16.264917080645162,1982,7,0.79,El Niño
1982-08-01,17.032812677419354,1982,8,1.07,El Niño
1982-09-01,17.7927666,1982,9,1.58,El Niño
1982-10-01,17.58777264516129,1982,10,1.97,El Niño
1982-11-01,16.883009033333334,1982,11,2.18,El Niño
1982-12-01,15.574231387096775,1982,12,2.23,El Niño
1983-01-01,15.096394951612904,1983,1,2.18,El Niño
1983-02-01,15.116136874999999,1983,2,1.92,El Niño
1983-03-01,14.99969341935484,1983,3,1.54,El Niño
1983-04-01,14.785193399999999,1983,4,1.29,El Niño
1983-05-01,15.103043709677419,1983,5,1.06,El Niño
1983-06-01,15.604128900000001,1983,6,0.72,El Niño
1983-07-01,16.85973535483871,1983,7,0.31,Neutral
1983-08-01,18.407975387096776,1983,8,-0.08,Neutral
1983-09-01,19.1908485,1983,9,-0.46,Neutral
1983-10-01,18.969613258064516,1983,10,-0.81,La Niña
1983-11-01,17.97781696666667,1983,11,-1.0,La Niña
1983-12-01,15.694634161290322,1983,12,-0.91,La Niña
1984-01-01,14.883418241935484,1984,1,-0.6,La Niña
1984-02-01,14.704531448275862,1984,2,-0.42,Neutral
1984-03-01,14.685247177419354,1984,3,-0.34,Neutral
1984-04-01,14.181856383333333,1984,4,-0.43,Neutral
1984-05-01,14.564370822580646,1984,5,-0.51,La Niña
1984-06-01,15.1235528,1984,6,-0.45,Neutral
1984-07-01,17.108406467741936,1984,7,-0.3,Neutral
1984-08-01,18.13335993548387,1984,8,-0.16,Neutral
1984-09-01,18.780252466666663,1984,9,-0.24,Neutral
