date,year,month,season,nino34_sst,oni,enso_phase
1950-01-01,1950,1,DJF,24.72,-1.53,La Niña
1950-02-01,1950,2,JFM,25.17,-1.34,La Niña
1950-03-01,1950,3,FMA,25.75,-1.16,La Niña
1950-04-01,1950,4,MAM,26.12,-1.18,La Niña
1950-05-01,1950,5,AMJ,26.32,-1.07,La Niña
1950-06-01,1950,6,MJJ,26.31,-0.85,La Niña
1950-07-01,1950,7,JJA,26.21,-0.54,La Niña
1950-08-01,1950,8,JAS,25.96,-0.42,Neutral
1950-09-01,1950,9,ASO,25.76,-0.39,Neutral
1950-10-01,1950,10,SON,25.63,-0.44,Neutral
1950-11-01,1950,11,OND,25.48,-0.6,La Niña
1950-12-01,1950,12,NDJ,25.34,-0.8,La Niña
1951-01-01,1951,1,DJF,25.42,-0.82,La Niña
1951-02-01,1951,2,JFM,25.96,-0.54,La Niña
1951-03-01,1951,3,FMA,26.74,-0.17,Neutral
1951-04-01,1951,4,MAM,27.48,0.18,Neutral
1951-05-01,1951,5,AMJ,27.75,0.36,Neutral
1951-06-01,1951,6,MJJ,27.75,0.58,El Niño
1951-07-01,1951,7,JJA,27.44,0.7,El Niño
1951-08-01,1951,8,JAS,27.28,0.89,El Niño
1951-09-01,1951,9,ASO,27.14,0.99,El Niño
1951-10-01,1951,10,SON,27.22,1.15,El Niño
1951-11-01,1951,11,OND,27.12,1.04,El Niño
1951-12-01,1951,12,NDJ,26.95,0.81,El Niño
1952-01-01,1952,1,DJF,26.78,0.53,El Niño
1952-02-01,1952,2,JFM,26.87,0.37,Neutral
1952-03-01,1952,3,FMA,27.25,0.34,Neutral
1952-04-01,1952,4,MAM,27.6,0.29,Neutral
1952-05-01,1952,5,AMJ,27.59,0.2,Neutral
1952-06-01,1952,6,MJJ,27.17,0.0,Neutral
1952-07-01,1952,7,JJA,26.67,-0.08,Neutral
1952-08-01,1952,8,JAS,26.39,0.0,Neutral
1952-09-01,1952,9,ASO,26.3,0.15,Neutral
1952-10-01,1952,10,SON,26.17,0.1,Neutral
1952-11-01,1952,11,OND,26.13,0.04,Neutral
1952-12-01,1952,12,NDJ,26.29,0.15,Neutral
1953-01-01,1953,1,DJF,26.65,0.4,Neutral
1953-02-01,1953,2,JFM,27.1,0.6,El Niño
1953-03-01,1953,3,FMA,27.53,0.63,El Niño
1953-04-01,1953,4,MAM,27.96,0.66,El Niño
1953-05-01,1953,5,AMJ,28.14,0.75,El Niño
1953-06-01,1953,6,MJJ,27.94,0.77,El Niño
1953-07-01,1953,7,JJA,27.49,0.75,El Niño
1953-08-01,1953,8,JAS,27.12,0.73,El Niño
1953-09-01,1953,9,ASO,26.93,0.78,El Niño
1953-10-01,1953,10,SON,26.91,0.84,El Niño
1953-11-01,1953,11,OND,26.92,0.84,El Niño
1953-12-01,1953,12,NDJ,26.95,0.81,El Niño
1954-01-01,1954,1,DJF,27.0,0.76,El Niño
1954-02-01,1954,2,JFM,26.97,0.47,Neutral
1954-03-01,1954,3,FMA,26.86,-0.05,Neutral
1954-04-01,1954,4,MAM,26.89,-0.41,Neutral
1954-05-01,1954,5,AMJ,26.85,-0.54,La Niña
1954-06-01,1954,6,MJJ,26.67,-0.5,La Niña
1954-07-01,1954,7,JJA,26.1,-0.64,La Niña
1954-08-01,1954,8,JAS,25.54,-0.84,La Niña
1954-09-01,1954,9,ASO,25.25,-0.9,La Niña
1954-10-01,1954,10,SON,25.3,-0.77,La Niña
1954-11-01,1954,11,OND,25.35,-0.73,La Niña
1954-12-01,1954,12,NDJ,25.48,-0.66,La Niña
1955-01-01,1955,1,DJF,25.57,-0.68,La Niña
1955-02-01,1955,2,JFM,25.89,-0.62,La Niña
1955-03-01,1955,3,FMA,26.22,-0.69,La Niña
1955-04-01,1955,4,MAM,26.5,-0.8,La Niña
1955-05-01,1955,5,AMJ,26.6,-0.79,La Niña
1955-06-01,1955,6,MJJ,26.45,-0.72,La Niña
1955-07-01,1955,7,JJA,26.06,-0.68,La Niña
1955-08-01,1955,8,JAS,25.64,-0.75,La Niña
1955-09-01,1955,9,ASO,25.06,-1.09,La Niña
1955-10-01,1955,10,SON,24.65,-1.42,La Niña
1955-11-01,1955,11,OND,24.41,-1.67,La Niña
1955-12-01,1955,12,NDJ,24.72,-1.47,La Niña
1956-01-01,1956,1,DJF,25.23,-1.11,La Niña
1956-02-01,1956,2,JFM,25.86,-0.76,La Niña
1956-03-01,1956,3,FMA,26.37,-0.63,La Niña
1956-04-01,1956,4,MAM,26.82,-0.54,La Niña
1956-05-01,1956,5,AMJ,26.93,-0.52,La Niña
1956-06-01,1956,6,MJJ,26.72,-0.51,La Niña
1956-07-01,1956,7,JJA,26.23,-0.57,La Niña
1956-08-01,1956,8,JAS,25.87,-0.55,La Niña
1956-09-01,1956,9,ASO,25.71,-0.46,Neutral
1956-10-01,1956,10,SON,25.67,-0.42,Neutral
1956-11-01,1956,11,OND,25.67,-0.43,Neutral
1956-12-01,1956,12,NDJ,25.77,-0.43,Neutral
1957-01-01,1957,1,DJF,26.09,-0.25,Neutral
1957-02-01,1957,2,JFM,26.68,0.06,Neutral
1957-03-01,1957,3,FMA,27.41,0.41,Neutral
1957-04-01,1957,4,MAM,28.08,0.72,El Niño
1957-05-01,1957,5,AMJ,28.37,0.92,El Niño
